xenbase_gene_id,S30_C_1,S30_C_2,S30_C_3,S30_F_1,S30_F_2,S30_F_3
XB-GENE-17341887,260,239,407,425,256,252
XB-GENE-17341908,76,77,132,78,68,83
XB-GENE-17341910,57,63,83,56,79,35
XB-GENE-17341921,53,53,83,55,57,49
XB-GENE-17341930,199,153,261,235,190,142
XB-GENE-17341933,303,293,541,418,351,401
XB-GENE-17341940,942,1361,1590,1140,1244,805
XB-GENE-17341945,2310,2513,3294,3482,3190,2682
XB-GENE-17341967,41,72,81,55,71,44
XB-GENE-17341970,511,482,699,632,558,468
XB-GENE-17341979,682,639,626,418,477,349
XB-GENE-17341989,693,929,1344,850,1020,948
XB-GENE-17341991,20,27,62,38,38,44
XB-GENE-17341994,171,144,254,295,209,165
XB-GENE-17342000,245,327,373,324,330,289
XB-GENE-17342009,21,31,69,35,21,49
XB-GENE-17342025,78,135,130,120,133,106
XB-GENE-17342029,46,39,58,56,49,41
XB-GENE-17342063,52,37,68,83,49,67
XB-GENE-17342064,304,260,355,295,273,172
XB-GENE-17342068,108,82,86,129,104,82
XB-GENE-17342071,169,138,152,155,143,68
XB-GENE-17342092,521,421,539,383,359,139
XB-GENE-17342099,111,144,84,134,154,54
XB-GENE-17342101,1805,1695,3230,1918,1627,1899
XB-GENE-17342105,1,4,2,1,1,1
XB-GENE-17342129,37,131,42,34,107,28
XB-GENE-17342135,575,401,958,700,487,603
XB-GENE-17342156,69,63,100,68,95,50
XB-GENE-17342168,66,105,106,102,103,113
XB-GENE-17342169,65,108,118,127,151,92
XB-GENE-17342176,332,432,424,438,476,322
XB-GENE-17342178,153,224,222,240,248,202
XB-GENE-17342180,55,91,103,105,108,65
XB-GENE-17342196,325,287,324,316,325,184
XB-GENE-17342197,55,86,91,92,89,74
XB-GENE-17342203,2,0,2,3,0,0
XB-GENE-17342204,80,88,130,140,112,123
XB-GENE-17342208,23,17,63,10,21,29
XB-GENE-17342209,0,0,0,0,0,1
XB-GENE-17342210,0,0,0,0,0,0
XB-GENE-17342234,91,141,162,164,161,154
XB-GENE-17342236,828,824,1106,882,872,546
XB-GENE-17342241,0,0,0,0,0,1
XB-GENE-17342250,20,23,15,23,28,19
XB-GENE-17342251,13,14,20,25,16,26
XB-GENE-17342252,28,27,58,48,51,35
XB-GENE-17342256,1283,1536,3000,1612,1465,1685
XB-GENE-17342268,48,29,64,54,28,31
XB-GENE-17342272,78,72,87,93,92,62
XB-GENE-17342281,0,0,0,42,10,35
XB-GENE-17342282,12,6,18,9,9,14
XB-GENE-17342291,6,4,8,8,10,16
XB-GENE-17342298,72,72,98,89,60,50
XB-GENE-17342306,59,85,101,79,111,62
XB-GENE-17342307,905,1427,1248,1348,1394,1124
XB-GENE-17342323,679,689,919,846,823,730
XB-GENE-17342324,8,1,6,3,3,9
XB-GENE-17342328,0,0,2,0,1,1
XB-GENE-17342334,22,17,30,25,17,22
XB-GENE-17342339,2,4,4,2,4,4
XB-GENE-17342357,26,29,31,16,17,10
XB-GENE-17342376,269,261,409,383,363,343
XB-GENE-17342380,3,6,6,4,8,2
XB-GENE-17342409,1298,1378,1443,1356,1609,976
XB-GENE-17342432,0,0,0,0,0,1
XB-GENE-17342444,225,355,309,216,326,189
XB-GENE-17342450,2,2,6,5,3,10
XB-GENE-17342475,36,46,58,31,39,25
XB-GENE-17342507,68,65,98,76,84,55
XB-GENE-17342525,94,115,164,114,116,109
XB-GENE-17342536,56,79,11,33,99,0
XB-GENE-17342556,165,151,174,140,137,159
XB-GENE-17342557,37,45,74,61,62,92
XB-GENE-17342564,48,41,73,47,50,36
XB-GENE-17342566,0,0,0,0,0,0
XB-GENE-17342582,383,474,584,692,567,676
XB-GENE-17342583,13,21,17,31,33,16
XB-GENE-17342592,4,5,16,26,8,51
XB-GENE-17342593,0,0,1,0,0,1
XB-GENE-17342600,215,285,375,336,411,260
XB-GENE-17342612,73,42,66,77,63,53
XB-GENE-17342615,2,2,9,1,2,2
XB-GENE-17342620,100,71,146,124,121,85
XB-GENE-17342635,612,432,630,427,473,502
XB-GENE-17342638,0,0,0,0,0,0
XB-GENE-17342639,191,191,179,218,214,106
XB-GENE-17342653,28,42,44,47,42,32
XB-GENE-17342657,3,12,5,13,20,6
XB-GENE-17342678,20,15,65,17,17,13
XB-GENE-17342690,149,179,258,176,193,151
XB-GENE-17342697,0,0,1,1,0,7
XB-GENE-17342703,18,21,39,21,25,19
XB-GENE-17342705,11,8,18,14,12,6
XB-GENE-17342716,31,48,77,56,55,56
XB-GENE-17342743,3,15,8,4,9,11
XB-GENE-17342755,59,50,96,77,65,60
XB-GENE-17342767,355,622,663,666,576,495
XB-GENE-17342769,65,42,113,59,59,72
XB-GENE-17342770,100,94,102,116,118,57
XB-GENE-17342776,160,184,232,239,206,171
XB-GENE-17342778,398,525,741,619,779,546
XB-GENE-17342800,68,72,165,104,77,107
XB-GENE-17342808,0,1,2,0,1,2
XB-GENE-17342812,3,3,4,4,4,6
XB-GENE-17342814,141,142,142,164,174,126
XB-GENE-17342830,59,96,139,57,91,80
XB-GENE-17342836,1366,1212,1162,1523,1381,779
XB-GENE-17342845,132,203,183,205,176,153
XB-GENE-17342846,1258,1482,1609,1379,1602,888
XB-GENE-17342852,3,1,5,4,2,3
XB-GENE-17342885,53,32,70,56,50,34
XB-GENE-17342902,17,15,32,45,26,13
XB-GENE-17342907,519,520,709,629,585,458
XB-GENE-17342909,111,84,131,143,116,111
XB-GENE-17342930,162,159,195,155,192,91
XB-GENE-17342978,30,33,37,41,35,36
XB-GENE-17343004,127,85,174,103,106,73
XB-GENE-17343015,57,43,42,55,36,21
XB-GENE-17343028,0,0,1,0,0,0
XB-GENE-17343058,1011,1111,1124,1298,1290,853
XB-GENE-17343088,299,517,529,593,588,520
XB-GENE-17343105,142,153,191,144,172,107
XB-GENE-17343106,883,957,1461,1390,1166,1265
XB-GENE-17343112,761,946,1113,923,887,617
XB-GENE-17343114,117,96,166,143,91,83
XB-GENE-17343115,292,249,314,307,331,278
XB-GENE-17343122,56,58,89,86,78,30
XB-GENE-17343131,11,5,18,13,9,16
XB-GENE-17343151,95,132,147,112,115,109
XB-GENE-17343152,1,1,3,4,3,1
XB-GENE-17343153,377,223,642,323,347,287
XB-GENE-17343158,226,206,322,203,239,200
XB-GENE-17343159,82,69,95,86,81,53
XB-GENE-17343163,122,112,108,105,138,62
XB-GENE-17343165,21,25,23,34,34,19
XB-GENE-17343187,2036,2831,3420,2826,3237,2345
XB-GENE-17343191,183,204,494,295,215,163
XB-GENE-17343201,1266,1575,1959,1898,2010,1468
XB-GENE-17343202,37,21,27,36,29,27
XB-GENE-17343226,3,4,37,11,7,53
XB-GENE-17343237,94,129,163,140,152,138
XB-GENE-17343249,12,6,29,11,14,19
XB-GENE-17343254,1560,1515,1657,1994,1886,1339
XB-GENE-17343261,25,30,62,43,34,44
XB-GENE-17343266,16,40,54,39,42,69
XB-GENE-17343271,31,33,58,41,48,37
XB-GENE-17343272,3,2,5,4,0,3
XB-GENE-17343273,76,48,77,72,61,45
XB-GENE-17343276,68,67,54,62,71,19
XB-GENE-17343279,1,2,11,3,5,10
XB-GENE-17343280,111,133,180,166,140,127
XB-GENE-17343314,46,74,94,72,78,50
XB-GENE-17343323,1,4,144,8,11,14
XB-GENE-17343329,66,49,90,63,56,46
XB-GENE-17343338,253,362,560,404,461,403
XB-GENE-17343344,127,164,341,130,166,115
XB-GENE-17343351,19,11,20,14,10,13
XB-GENE-17343352,29,34,60,39,50,39
XB-GENE-17343357,9,9,13,13,6,8
XB-GENE-17343367,77,70,113,86,86,74
XB-GENE-17343376,1,2,28,0,0,1
XB-GENE-17343377,1349,949,1512,1309,1331,615
XB-GENE-17343382,28,25,31,32,27,12
XB-GENE-17343389,207,176,219,195,218,140
XB-GENE-17343392,32,27,42,50,42,28
XB-GENE-17343403,146,165,203,196,192,129
XB-GENE-17343405,175,177,217,185,183,140
XB-GENE-17343409,67,79,142,75,93,91
XB-GENE-17343428,200,216,277,234,277,155
XB-GENE-17343433,31,51,75,48,50,30
XB-GENE-17343456,1269,1377,1349,1341,1518,841
XB-GENE-17343457,67,77,111,124,102,101
XB-GENE-17343460,3,5,13,8,2,20
XB-GENE-17343474,149,165,203,163,154,170
XB-GENE-17343479,72,67,84,60,79,70
XB-GENE-17343490,14,6,22,33,9,75
XB-GENE-17343498,64,59,73,83,58,61
XB-GENE-17343505,75,114,153,112,115,79
XB-GENE-17343506,0,0,1,0,0,0
XB-GENE-17343511,20,27,44,14,23,23
XB-GENE-17343527,0,1,1,0,2,2
XB-GENE-17343529,213,155,421,240,220,234
XB-GENE-17343537,0,0,8,0,1,12
XB-GENE-17343547,0,0,0,0,0,0
XB-GENE-17343549,9,15,42,48,24,53
XB-GENE-17343550,232,222,309,217,240,141
XB-GENE-17343582,59,18,45,57,35,28
XB-GENE-17343601,158,251,550,333,312,435
XB-GENE-17343636,5,12,18,14,14,8
XB-GENE-17343645,205,241,393,324,260,266
XB-GENE-17343688,18,18,47,26,30,31
XB-GENE-17343708,39,36,59,41,46,38
XB-GENE-17343716,256,209,343,229,245,156
XB-GENE-17343734,29,28,32,37,29,20
XB-GENE-17343750,1,0,16,2,2,3
XB-GENE-17343751,155,192,276,208,256,219
XB-GENE-17343770,83,118,139,82,152,87
XB-GENE-17343774,2,2,5,5,6,2
XB-GENE-17343779,93,119,355,94,134,179
XB-GENE-17343783,137,140,248,128,156,134
XB-GENE-17343813,665,611,831,836,755,539
XB-GENE-17343832,0,0,0,0,0,0
XB-GENE-17343852,391,469,553,386,486,339
XB-GENE-17343857,54,14,64,40,14,20
XB-GENE-17343858,250,265,401,321,299,297
XB-GENE-17343862,168,164,235,205,195,167
XB-GENE-17343866,12,9,17,15,9,6
XB-GENE-17343867,208,210,301,252,229,168
XB-GENE-17343878,4,4,4,2,6,8
XB-GENE-17343880,303,310,266,334,314,177
XB-GENE-17343913,11,7,15,17,13,15
XB-GENE-17343919,783,748,844,881,753,584
XB-GENE-17343922,47,54,50,61,80,37
XB-GENE-17343925,492,527,604,661,743,485
XB-GENE-17343935,70,72,62,69,70,41
XB-GENE-17343947,381,435,741,516,499,438
XB-GENE-17343948,39,49,94,52,45,51
XB-GENE-17343957,163,184,316,237,253,200
XB-GENE-17343963,0,0,8,1,0,0
XB-GENE-17343964,202,167,331,234,216,216
XB-GENE-17343979,6,6,17,4,10,7
XB-GENE-17343987,82,93,96,108,104,59
XB-GENE-17343998,390,511,597,491,615,293
XB-GENE-17344002,56,83,135,76,73,64
XB-GENE-17344003,407,519,735,691,624,687
XB-GENE-17344005,212,216,268,245,198,132
XB-GENE-17344016,191,148,266,238,146,206
XB-GENE-17344022,93,90,92,115,93,81
XB-GENE-17344030,103,119,141,132,138,99
XB-GENE-17344047,0,0,3,2,1,4
XB-GENE-17344052,61,111,171,119,120,111
XB-GENE-17344079,10,5,10,36,14,43
XB-GENE-17344125,168,150,286,177,150,144
XB-GENE-17344126,0,6,5,3,1,11
XB-GENE-17344150,36,26,77,61,39,41
XB-GENE-17344152,140,68,126,88,72,88
XB-GENE-17344157,43,50,71,46,42,54
XB-GENE-17344166,40,36,75,42,48,48
XB-GENE-17344167,190,149,348,216,187,194
XB-GENE-17344179,22,18,36,32,41,23
XB-GENE-17344181,949,928,1492,1519,1443,1290
XB-GENE-17344201,20,28,54,45,29,36
XB-GENE-17344213,7,16,35,15,15,16
XB-GENE-17344231,62,80,81,74,67,50
XB-GENE-17344232,27,38,129,16,27,40
XB-GENE-17344262,728,818,1163,769,865,601
XB-GENE-17344263,4,0,0,0,0,0
XB-GENE-17344272,71,58,111,133,89,126
XB-GENE-17344284,32,32,62,43,39,50
XB-GENE-17344291,3,2,43,416,196,414
XB-GENE-17344295,705,691,817,736,774,446
XB-GENE-17344335,876,873,1108,1227,892,810
XB-GENE-17344341,0,0,0,0,0,2
XB-GENE-17344349,0,0,0,0,0,0
XB-GENE-17344352,223,217,262,249,231,165
XB-GENE-17344357,10,5,12,15,21,11
XB-GENE-17344373,1213,1163,1571,1282,1304,873
XB-GENE-17344378,176,155,99,166,226,72
XB-GENE-17344391,15,19,16,21,14,11
XB-GENE-17344393,2049,1623,1650,2647,1711,1148
XB-GENE-17344407,66,77,113,76,74,53
XB-GENE-17344410,476,446,657,555,607,466
XB-GENE-17344442,88,72,64,78,76,37
XB-GENE-17344443,71,102,183,122,129,121
XB-GENE-17344454,100,147,201,122,159,140
XB-GENE-17344460,3,3,6,6,2,4
XB-GENE-17344466,370,305,323,360,343,207
XB-GENE-17344468,51,56,94,58,63,52
XB-GENE-17344486,161,158,242,167,179,158
XB-GENE-17344488,1,1,0,0,1,0
XB-GENE-17344492,6,11,1,6,9,1
XB-GENE-17344507,125,120,127,149,110,54
XB-GENE-17344515,481,533,561,613,566,441
XB-GENE-17344545,85,189,235,73,144,146
XB-GENE-17344552,310,313,438,334,337,235
XB-GENE-17344555,76,65,63,81,69,45
XB-GENE-17344569,319,251,398,373,305,229
XB-GENE-17344584,0,0,6,1,0,6
XB-GENE-17344588,3394,4823,4320,3789,5249,1967
XB-GENE-17344589,33,22,53,59,30,42
XB-GENE-17344590,13,15,8,13,12,2
XB-GENE-17344593,887,925,1033,1189,942,753
XB-GENE-17344623,50,44,85,82,55,58
XB-GENE-17344630,45,30,60,49,44,46
XB-GENE-17344635,55,45,62,52,44,30
XB-GENE-17344649,509,490,691,701,609,395
XB-GENE-17344673,65,47,73,60,41,28
XB-GENE-17344686,20,27,15,48,34,58
XB-GENE-17344700,15,25,42,29,23,14
XB-GENE-17344708,21,20,35,19,24,25
XB-GENE-17344722,189,231,303,243,276,203
XB-GENE-17344732,23,26,33,28,37,14
XB-GENE-17344734,26,30,41,30,37,35
XB-GENE-17344741,366,322,598,381,403,357
XB-GENE-17344751,116,80,90,99,93,47
XB-GENE-17344781,212,265,423,288,311,179
XB-GENE-17344790,149,144,192,142,170,83
XB-GENE-17344824,47,53,83,78,61,48
XB-GENE-17344861,32,44,65,62,49,60
XB-GENE-17344873,0,0,0,0,0,0
XB-GENE-17344876,562,552,712,778,685,477
XB-GENE-17344878,163,183,219,184,234,146
XB-GENE-17344882,27,25,50,48,36,35
XB-GENE-17344894,292,282,439,357,378,298
XB-GENE-17344911,0,0,0,0,0,0
XB-GENE-17344913,0,0,0,0,2,0
XB-GENE-17344919,2,1,6,4,2,5
XB-GENE-17344921,104,101,160,126,112,113
XB-GENE-17344931,597,579,670,642,578,357
XB-GENE-17344936,117,140,176,190,178,158
XB-GENE-17344952,110,90,133,110,107,75
XB-GENE-17344954,115,104,181,147,99,75
XB-GENE-17344959,2,6,15,29,7,23
XB-GENE-17344964,33,30,59,48,27,40
XB-GENE-17345003,47,33,148,86,64,127
XB-GENE-17345014,148,156,260,173,181,166
XB-GENE-17345020,864,843,1141,974,783,685
XB-GENE-17345022,0,0,1,4,2,1
XB-GENE-17345032,0,0,3,0,0,30
XB-GENE-17345034,358,445,432,410,584,231
XB-GENE-17345036,154,157,231,134,166,126
XB-GENE-17345039,14,18,25,17,19,16
XB-GENE-17345040,2,0,2,1,1,3
XB-GENE-17345045,248,259,224,208,266,165
XB-GENE-17345067,27,34,64,46,44,46
XB-GENE-17345074,2,6,9,6,6,7
XB-GENE-17345082,77,91,204,91,91,135
XB-GENE-17345084,265,286,347,335,298,215
XB-GENE-17345111,513,587,620,656,630,412
XB-GENE-17345129,52,68,75,87,67,73
XB-GENE-17345160,185,182,254,199,227,124
XB-GENE-17345172,24,29,28,29,25,13
XB-GENE-17345175,5,8,19,8,9,13
XB-GENE-17345176,8,21,34,9,23,17
XB-GENE-17345182,1,0,5,1,0,8
XB-GENE-17345185,101,148,257,136,161,128
XB-GENE-17345186,646,568,630,743,609,537
XB-GENE-17345209,112,101,142,115,170,70
XB-GENE-17345212,2,4,4,6,2,3
XB-GENE-17345221,1057,912,1239,1059,878,570
XB-GENE-17345228,59,66,77,57,101,40
XB-GENE-17345237,66,92,109,110,84,76
XB-GENE-17345241,1,0,2,1,0,2
XB-GENE-17345254,75,59,112,57,71,55
XB-GENE-17345255,3,2,10,3,1,3
XB-GENE-17345266,50,49,78,46,47,46
XB-GENE-17345270,1,8,1,2,3,1
XB-GENE-17345271,221,230,392,312,256,224
XB-GENE-17345280,130,129,134,141,158,97
XB-GENE-17345285,1,3,1,2,2,2
XB-GENE-17345295,344,293,632,464,393,424
XB-GENE-17345296,391,296,344,724,391,543
XB-GENE-17345369,30,37,60,37,37,42
XB-GENE-17345378,119,208,211,249,232,241
XB-GENE-17345403,94,68,87,82,79,62
XB-GENE-17345417,132,130,194,181,154,124
XB-GENE-17345432,72,84,68,94,53,43
XB-GENE-17345444,0,0,0,0,0,0
XB-GENE-17345449,605,640,987,861,804,742
XB-GENE-17345452,247,189,299,247,195,175
XB-GENE-17345473,27,37,64,35,32,32
XB-GENE-17345482,4375,5360,7567,4657,5431,4373
XB-GENE-17345492,0,0,0,1,1,0
XB-GENE-17345494,44,52,89,66,66,76
XB-GENE-17345511,457,496,774,536,581,433
XB-GENE-17345513,544,533,706,617,617,416
XB-GENE-17345516,66,67,88,80,77,61
XB-GENE-17345542,782,763,1009,844,850,581
XB-GENE-17345605,73,73,137,75,87,82
XB-GENE-17345613,212,40,262,102,136,217
XB-GENE-17345617,470,789,706,647,1010,485
XB-GENE-17345620,0,0,0,5,1,8
XB-GENE-17345632,517,559,616,694,650,389
XB-GENE-17345636,3,3,8,3,6,6
XB-GENE-17345673,193,191,353,229,279,210
XB-GENE-17345677,839,1025,1204,1071,997,954
XB-GENE-17345693,0,0,0,0,0,2
XB-GENE-17345696,132,109,151,154,98,90
XB-GENE-17345720,24,25,34,32,26,34
XB-GENE-17345728,51,68,88,74,100,48
XB-GENE-17345745,214,284,271,269,303,203
XB-GENE-17345746,87,98,150,85,97,89
XB-GENE-17345768,253,245,304,269,258,187
XB-GENE-17345772,67,58,122,67,59,54
XB-GENE-17345775,205,339,455,443,330,344
XB-GENE-17345779,14,15,19,13,16,16
XB-GENE-17345804,69,99,182,80,95,93
XB-GENE-17345807,6,21,15,9,24,9
XB-GENE-17345810,110,61,133,112,60,144
XB-GENE-17345812,63,64,86,53,67,51
XB-GENE-17345815,44,37,78,63,36,57
XB-GENE-17345818,94,116,143,148,100,125
XB-GENE-17345825,24,23,13,18,12,16
XB-GENE-17345840,0,1,9,3,7,8
XB-GENE-17345844,110,143,186,109,132,103
XB-GENE-17345845,30,21,35,32,29,28
XB-GENE-17345853,36,45,41,49,25,20
XB-GENE-17345862,966,906,1159,998,918,711
XB-GENE-17345870,17,22,26,22,22,18
XB-GENE-17345876,1330,1853,3382,1989,1935,2177
XB-GENE-17345879,145,225,142,206,211,117
XB-GENE-17345905,6,8,30,11,12,27
XB-GENE-17345911,5,10,15,6,10,15
XB-GENE-17345921,2313,2405,2093,2890,2848,1549
XB-GENE-17345932,0,1,1,0,0,1
XB-GENE-17345933,387,365,481,459,411,306
XB-GENE-17345935,398,378,441,429,438,304
XB-GENE-17345942,0,0,6,0,0,4
XB-GENE-17345954,80,49,141,65,70,74
XB-GENE-17345961,329,356,782,320,355,265
XB-GENE-17345982,45,70,69,96,97,78
XB-GENE-17345983,89,148,174,170,176,166
XB-GENE-17345996,58,47,69,75,55,38
XB-GENE-17346003,38,19,64,26,20,38
XB-GENE-17346012,23,22,25,53,45,28
XB-GENE-17346016,99,98,148,93,98,64
XB-GENE-17346025,178,211,268,235,215,186
XB-GENE-17346058,24,47,72,49,48,89
XB-GENE-17346061,29,37,51,45,45,33
XB-GENE-17346070,345,388,699,499,501,470
XB-GENE-17346071,67,42,141,47,50,104
XB-GENE-17346075,2,4,19,13,9,39
XB-GENE-17346096,945,1116,1538,1106,1270,871
XB-GENE-17346100,1203,1319,2099,1340,1401,1044
XB-GENE-17346104,423,455,413,543,522,273
XB-GENE-17346129,0,1,0,0,0,0
XB-GENE-17346137,789,887,870,920,928,601
XB-GENE-17346138,273,252,332,266,245,213
XB-GENE-17346141,14,35,21,25,25,6
XB-GENE-17346148,230,222,319,256,276,175
XB-GENE-17346164,623,655,409,629,678,212
XB-GENE-17346170,1617,1586,1819,1694,1526,1131
XB-GENE-17346187,36,35,69,55,50,67
XB-GENE-17346208,402,457,921,528,636,576
XB-GENE-17346209,377,294,496,387,453,285
XB-GENE-17346214,99,196,142,169,195,101
XB-GENE-17346220,57,50,68,83,64,27
XB-GENE-17346234,0,0,0,0,0,0
XB-GENE-17346245,1,0,3,2,8,3
XB-GENE-17346258,67,75,276,207,107,269
XB-GENE-17346296,3,2,9,2,4,10
XB-GENE-17346305,489,449,588,536,498,392
XB-GENE-17346319,389,396,428,459,450,296
XB-GENE-17346325,0,1,5,0,1,1
XB-GENE-17346336,772,1040,1192,1169,1189,913
XB-GENE-17346338,0,0,1,0,0,0
XB-GENE-17346339,199,187,355,332,257,240
XB-GENE-17346342,10,15,22,27,23,30
XB-GENE-17346347,0,0,0,0,2,0
XB-GENE-17346349,343,390,454,380,430,289
XB-GENE-17346353,9,5,12,8,12,7
XB-GENE-17346363,123,98,100,132,130,57
XB-GENE-17346366,4,9,4,4,12,4
XB-GENE-17346396,129,187,95,167,259,124
XB-GENE-17346400,256,384,580,401,425,346
XB-GENE-17346408,0,0,0,0,0,0
XB-GENE-17346411,107,92,233,110,92,80
XB-GENE-17346414,1101,1055,1273,989,1104,807
XB-GENE-17346434,110,127,226,133,131,125
XB-GENE-17346435,48,67,98,83,58,69
XB-GENE-17346438,126,123,210,159,122,106
XB-GENE-17346442,1,1,0,4,2,13
XB-GENE-17346446,113,114,159,116,111,101
XB-GENE-17346458,194,165,245,219,116,157
XB-GENE-17346466,72,51,93,73,71,54
XB-GENE-17346492,2072,1937,2384,2482,2401,1591
XB-GENE-17346494,9,0,9,0,4,7
XB-GENE-17346496,16,16,89,19,17,19
XB-GENE-17346504,28,23,54,31,25,30
XB-GENE-17346514,10,11,23,19,6,13
XB-GENE-17346530,24,28,32,46,44,40
XB-GENE-17346559,59,49,73,47,37,41
XB-GENE-17346563,358,381,441,376,442,253
XB-GENE-17346564,1,0,34,0,0,6
XB-GENE-17346573,15,2,27,9,3,20
XB-GENE-17346577,164,198,307,207,237,184
XB-GENE-17346583,22,12,9,19,16,6
XB-GENE-17346589,61,90,158,86,99,68
XB-GENE-17346591,38,19,38,30,39,25
XB-GENE-17346609,252,192,175,279,129,46
XB-GENE-17346627,947,1226,1640,1368,1405,1286
XB-GENE-17346628,18,21,49,33,18,32
XB-GENE-17346643,62,65,78,74,73,40
XB-GENE-17346645,7,9,19,8,9,16
XB-GENE-17346660,40,29,34,52,31,29
XB-GENE-17346667,177,170,178,217,159,91
XB-GENE-17346678,6,2,11,3,3,6
XB-GENE-17346688,34,53,48,69,52,56
XB-GENE-17346695,160,219,273,203,286,177
XB-GENE-17346697,122,155,139,155,152,90
XB-GENE-17346699,102,133,125,102,162,118
XB-GENE-17346700,192,226,198,188,214,160
XB-GENE-17346702,75,74,114,101,78,80
XB-GENE-17346723,407,462,609,488,532,377
XB-GENE-17346725,272,183,265,329,245,186
XB-GENE-17346726,258,334,452,356,423,278
XB-GENE-17346728,625,665,654,702,730,268
XB-GENE-17346730,65,28,58,130,50,200
XB-GENE-17346733,126,111,86,161,142,56
XB-GENE-17346739,115,109,138,147,103,79
XB-GENE-17346778,78,63,68,85,63,28
XB-GENE-17346803,2179,2384,3359,3125,2848,2604
XB-GENE-17346830,8,5,17,4,12,6
XB-GENE-17346845,30,31,46,35,43,29
XB-GENE-17346855,15,15,17,19,9,10
XB-GENE-17346866,130,174,283,177,154,172
XB-GENE-17346886,12,23,45,18,10,17
XB-GENE-17346887,2594,2308,2476,2877,2661,1518
XB-GENE-17346898,201,204,207,188,220,98
XB-GENE-17346909,26,25,32,30,23,36
XB-GENE-18005508,269,194,339,289,212,228
XB-GENE-18005520,97,118,122,156,135,79
XB-GENE-18005522,18,21,16,6,18,7
XB-GENE-18005622,0,0,0,0,0,0
XB-GENE-18005634,1386,903,703,1233,939,517
XB-GENE-18005645,54,46,77,62,77,59
XB-GENE-18005693,0,0,0,0,0,0
XB-GENE-18005769,190,163,228,216,206,129
XB-GENE-18005794,173,158,143,146,173,92
XB-GENE-18005836,0,0,1,0,0,1
XB-GENE-18005862,11,16,31,14,21,26
XB-GENE-18005872,66,59,134,75,61,69
XB-GENE-18005878,172,148,190,181,150,108
XB-GENE-18005898,0,0,1,0,0,0
XB-GENE-18006009,23,23,40,28,21,17
XB-GENE-18006014,27,82,90,38,109,62
XB-GENE-18006546,14,15,12,7,13,21
XB-GENE-18034123,2,1,11,5,3,6
XB-GENE-22041450,1,1,7,0,2,0
XB-GENE-22041601,0,0,0,0,0,0
XB-GENE-22041689,2,2,8,1,1,3
XB-GENE-22041697,0,1,0,15,0,2
XB-GENE-22041698,14,16,0,20,17,0
XB-GENE-22041729,30,25,31,74,30,36
XB-GENE-22041745,1053,1009,1152,1044,1129,679
XB-GENE-22041757,0,0,0,0,0,0
XB-GENE-22060522,40,88,212,44,99,80
XB-GENE-22060523,594,676,996,497,559,380
XB-GENE-22060526,186,171,172,179,172,116
XB-GENE-22060530,1124,1648,2005,1372,1905,911
XB-GENE-22060949,107,125,150,146,167,90
XB-GENE-22060973,3,0,2,3,3,0
XB-GENE-22061136,56,59,123,52,63,58
XB-GENE-22061497,9,6,438,179,60,503
XB-GENE-22061522,25,22,14,21,20,14
XB-GENE-22061760,57,43,56,57,56,41
XB-GENE-22061925,11,14,14,16,13,8
XB-GENE-22061926,28,41,37,39,30,22
XB-GENE-22062186,7135,3081,5294,7961,4637,4678
XB-GENE-22062345,696,570,935,612,538,487
XB-GENE-22062364,0,0,0,0,1,0
XB-GENE-22062581,1847,1417,1272,1814,1579,692
XB-GENE-22062680,5,2,4,1,2,0
XB-GENE-22062688,107,118,154,119,121,83
XB-GENE-22063016,1678,1635,1997,1882,1706,1057
XB-GENE-22063028,0,0,0,4,2,2
XB-GENE-22063235,21,17,20,18,11,11
XB-GENE-22063243,45,36,871,37,56,344
XB-GENE-22063252,208,307,350,346,402,459
XB-GENE-22063256,16,16,36,9,17,26
XB-GENE-22063259,282,355,316,310,359,225
XB-GENE-22063263,44,35,82,68,39,52
XB-GENE-22063275,7334,9771,7952,6835,9331,3134
XB-GENE-22063276,26,22,49,33,20,37
XB-GENE-22063324,1144,1371,1764,1265,1639,780
XB-GENE-22063328,67,58,71,87,64,63
XB-GENE-22063329,61,60,92,76,100,74
XB-GENE-22063332,177,172,188,162,149,144
XB-GENE-22063333,36,52,64,54,46,39
XB-GENE-22063561,629,687,1010,876,680,614
XB-GENE-22063597,108,99,130,119,121,92
XB-GENE-22063602,2154,1244,1741,1603,2364,1143
XB-GENE-22064000,47,27,15,34,27,13
XB-GENE-22064001,27,33,7,39,25,21
XB-GENE-22064041,31,12,24,29,22,36
XB-GENE-22064066,0,0,8,1,1,9
XB-GENE-22064067,5,5,5,9,3,7
XB-GENE-22064146,0,0,0,0,0,0
XB-GENE-22064196,0,0,0,1,0,0
XB-GENE-22064197,0,0,0,0,0,0
XB-GENE-22064325,0,0,0,0,1,0
XB-GENE-22064329,0,0,0,0,0,0
XB-GENE-22064481,153,166,228,147,176,117
XB-GENE-22065085,3,2,2,3,0,1
XB-GENE-22065380,0,0,0,0,0,1
XB-GENE-22065384,0,0,0,0,0,0
XB-GENE-22065647,79,127,152,108,118,93
XB-GENE-22065769,0,0,0,0,0,0
XB-GENE-22065950,422,422,745,453,507,269
XB-GENE-22066218,0,0,1,0,0,0
XB-GENE-22069492,16,18,35,23,23,22
XB-GENE-22069501,47,41,65,47,50,42
XB-GENE-22069558,5,5,10,3,2,6
XB-GENE-22069761,1,1,0,1,0,0
XB-GENE-22164456,0,0,0,0,0,0
