xenbase_gene_id,S14_C_5,S14_C_6,S14_C_A,S14_F_5,S14_F_6,S14_F_A
XB-GENE-6252647,1,0,4,2,2,3
XB-GENE-6252649,0,0,2,0,0,0
XB-GENE-6252650,0,0,0,0,0,0
XB-GENE-6252652,0,0,0,0,0,0
XB-GENE-6252653,2,2,0,0,2,2
XB-GENE-6252654,0,0,0,0,0,3
XB-GENE-6252655,0,0,0,0,0,0
XB-GENE-6252656,0,4,4,1,3,4
XB-GENE-6252658,0,0,0,0,0,0
XB-GENE-6252659,79,23,544,935,352,1910
XB-GENE-6252662,4,5,21,101,57,203
XB-GENE-6252666,0,1,3,0,1,1
XB-GENE-6252667,0,0,0,0,0,0
XB-GENE-6252669,3,0,0,3,1,8
XB-GENE-6252673,7,2,1,4,4,3
XB-GENE-6252674,5,2,0,2,1,0
XB-GENE-6252679,1,0,0,1,0,0
XB-GENE-6252681,0,2,2,14,6,5
XB-GENE-6252682,0,0,1,0,0,1
XB-GENE-6252686,96,89,164,146,100,111
XB-GENE-6252688,26,20,44,53,20,48
XB-GENE-6252690,0,5,1,3,2,0
XB-GENE-6252691,1150,1149,2896,1273,1391,1551
XB-GENE-6252694,0,0,0,0,1,1
XB-GENE-6252695,1,0,2,1,0,0
XB-GENE-6252700,0,0,0,0,0,0
XB-GENE-6252707,4,1,3,0,1,4
XB-GENE-6252708,0,0,18,0,0,1
XB-GENE-6252709,22,22,18,28,13,14
XB-GENE-6252716,379,369,580,527,331,496
XB-GENE-6252721,0,0,0,0,0,0
XB-GENE-6252724,208,250,284,319,258,267
XB-GENE-6252725,0,0,0,2,0,2
XB-GENE-6252726,2,1,9,1,2,4
XB-GENE-6252727,0,0,0,0,0,0
XB-GENE-6252728,34,30,60,69,31,105
XB-GENE-6252729,286,216,304,460,168,254
XB-GENE-6252730,114,111,212,203,131,311
XB-GENE-6252731,568,387,639,1087,441,752
XB-GENE-6252733,301,159,361,677,223,605
XB-GENE-6252734,163,157,290,313,237,292
XB-GENE-6252735,3,5,10,2,6,6
XB-GENE-6252736,277,177,355,385,199,351
XB-GENE-6252737,257,241,321,386,229,309
XB-GENE-6252739,48,36,74,69,38,72
XB-GENE-6252740,1066,836,1518,1626,770,1460
XB-GENE-6252745,11,8,11,17,12,16
XB-GENE-6252747,142,70,180,233,63,144
XB-GENE-6252749,29,50,88,64,47,59
XB-GENE-6252750,5,2,9,9,4,8
XB-GENE-6252751,102,84,171,174,71,124
XB-GENE-6252753,26,30,61,27,30,33
XB-GENE-6252758,165,156,279,282,162,271
XB-GENE-6252759,0,0,0,2,0,0
XB-GENE-6252763,117,76,153,182,97,171
XB-GENE-6252764,62,41,78,156,46,87
XB-GENE-6252765,9,12,20,8,12,7
XB-GENE-6252766,84,55,95,114,51,100
XB-GENE-6252767,342,262,373,482,258,408
XB-GENE-6252773,5,11,8,18,10,11
XB-GENE-6252775,37,23,46,78,26,64
XB-GENE-6252776,84,88,220,146,98,119
XB-GENE-6252777,32,50,80,90,40,88
XB-GENE-6252778,255,213,648,331,288,452
XB-GENE-6252782,62,54,78,111,33,93
XB-GENE-6252785,1,3,4,6,9,11
XB-GENE-6252786,312,307,563,338,287,306
XB-GENE-6252787,0,1,0,2,1,0
XB-GENE-6252788,10,3,9,13,5,4
XB-GENE-6252789,55,63,92,109,48,74
XB-GENE-6252791,136,147,246,176,150,128
XB-GENE-6252794,4,3,15,3,15,5
XB-GENE-6252795,377,365,618,660,271,550
XB-GENE-6252796,9,5,9,10,6,19
XB-GENE-6252797,1,0,0,0,1,0
XB-GENE-6252798,269,326,583,405,322,402
XB-GENE-6252802,49,28,40,46,17,22
XB-GENE-6252803,1,4,3,4,6,8
XB-GENE-6252805,20,19,27,22,12,20
XB-GENE-6252808,375,254,370,485,298,339
XB-GENE-6252811,48,40,85,51,47,53
XB-GENE-6252812,45,52,86,76,35,71
XB-GENE-6252813,341,263,466,639,265,520
XB-GENE-6252814,1,0,3,2,0,1
XB-GENE-6252815,310,340,443,495,271,300
XB-GENE-6252816,122,103,177,132,74,173
XB-GENE-6252818,13,13,26,23,3,11
XB-GENE-6252819,53,60,155,75,62,85
XB-GENE-6252821,10,5,13,17,3,6
XB-GENE-6252825,115,139,136,190,75,96
XB-GENE-6252826,5,3,7,5,3,5
XB-GENE-6252827,43,30,48,69,27,40
XB-GENE-6252828,3,0,0,9,0,0
XB-GENE-6252829,0,0,6,2,1,3
XB-GENE-6252831,2,0,1,0,0,2
XB-GENE-6252834,25,21,29,28,17,27
XB-GENE-6252835,86,66,150,121,71,110
XB-GENE-6252836,39,12,36,82,18,61
XB-GENE-6252837,70,44,62,114,38,93
XB-GENE-6252840,384,228,542,462,235,415
XB-GENE-6252841,34,16,40,36,16,26
XB-GENE-6252842,120,126,184,218,139,172
XB-GENE-6252843,70,55,125,99,45,90
XB-GENE-6252844,35,34,64,60,28,64
XB-GENE-6252847,0,0,0,1,0,0
XB-GENE-6252851,254,270,559,395,243,429
XB-GENE-6252852,191,104,195,301,132,229
XB-GENE-6252854,40,12,44,156,55,158
XB-GENE-6252856,0,0,0,0,0,0
XB-GENE-6252857,1,0,1,0,0,5
XB-GENE-6252860,0,0,1,0,1,0
XB-GENE-6252861,0,0,1,0,0,0
XB-GENE-6252862,0,0,0,0,0,0
XB-GENE-6252871,146,133,218,282,80,160
XB-GENE-6252872,65,63,63,76,53,54
XB-GENE-6252873,0,0,0,0,0,0
XB-GENE-6252874,0,0,0,0,0,0
XB-GENE-6252875,0,0,0,0,0,9
XB-GENE-6252876,18,11,24,21,10,46
XB-GENE-6252877,67,50,82,120,42,72
XB-GENE-6252879,155,121,195,310,124,250
XB-GENE-6252880,2,0,6,0,4,5
XB-GENE-6252881,0,0,1,0,0,3
XB-GENE-6252882,0,0,0,0,0,0
XB-GENE-6252883,8,3,12,36,3,42
XB-GENE-6252884,1,4,0,0,4,1
XB-GENE-6252885,0,0,0,0,0,0
XB-GENE-6252886,3,1,2,39,9,4
XB-GENE-6252887,38,6,8,168,53,166
XB-GENE-6252888,1,2,5,1,6,3
XB-GENE-6252889,0,0,0,0,0,0
XB-GENE-6252890,1,0,0,0,0,0
XB-GENE-6252891,1160,979,1594,1700,731,775
XB-GENE-6252892,0,0,0,2,0,3
XB-GENE-6252893,0,0,0,0,0,2
XB-GENE-6252894,10,4,2,8,1,7
XB-GENE-6252895,0,0,0,0,0,0
XB-GENE-6252896,119,72,192,222,71,288
XB-GENE-6252897,173,208,402,251,233,212
XB-GENE-6252898,962,943,1168,1511,950,1227
XB-GENE-6252899,192,204,366,268,247,304
XB-GENE-6252900,0,0,0,0,0,0
XB-GENE-6252902,24,24,78,36,21,34
XB-GENE-6252918,5,6,10,8,2,8
XB-GENE-6252920,895,779,1289,1469,814,1325
XB-GENE-6252924,9,12,65,19,16,36
XB-GENE-6252925,46,20,96,52,31,37
XB-GENE-6252931,20,16,37,37,22,39
XB-GENE-6252933,0,1,0,0,1,1
XB-GENE-6252935,8,17,45,16,16,66
XB-GENE-6252936,638,668,851,872,528,620
XB-GENE-6252939,1,7,4,5,5,2
XB-GENE-6252942,56,19,33,111,21,82
XB-GENE-6252945,450,550,853,765,488,672
XB-GENE-6252946,26,27,45,37,24,34
XB-GENE-6252948,0,1,0,1,0,0
XB-GENE-6252953,328,282,438,523,280,353
XB-GENE-6252956,24,16,25,39,13,42
XB-GENE-6252958,89,59,86,120,62,89
XB-GENE-6252959,339,335,708,463,382,414
XB-GENE-6252961,101,80,133,137,72,115
XB-GENE-6252963,41,22,65,47,4,43
XB-GENE-6252964,54,55,181,82,67,226
XB-GENE-6252966,354,293,497,531,309,507
XB-GENE-6252967,215,154,224,304,152,272
XB-GENE-6252969,254,146,307,375,117,347
XB-GENE-6252970,652,465,762,825,359,476
XB-GENE-6252973,43,37,66,62,50,75
XB-GENE-6252974,5,3,13,10,7,15
XB-GENE-6252976,257,210,287,363,139,239
XB-GENE-6252980,15,17,27,23,13,30
XB-GENE-6252983,423,395,627,687,430,567
XB-GENE-6252985,132,67,252,181,102,207
XB-GENE-6252987,52,40,72,104,47,79
XB-GENE-6252996,2131,2043,3116,3685,1962,2861
XB-GENE-6252998,499,343,736,697,387,518
XB-GENE-6253000,25,14,29,27,13,26
XB-GENE-6253008,4,0,4,7,5,0
XB-GENE-6253009,31,26,74,44,27,51
XB-GENE-6253010,6,3,15,7,3,3
XB-GENE-6253011,172,228,326,434,208,313
XB-GENE-6253015,180,146,195,293,149,200
XB-GENE-6253019,103,60,114,215,74,154
XB-GENE-6253020,244,213,345,244,211,180
XB-GENE-6253024,46,31,99,74,23,88
XB-GENE-6253025,2,1,6,3,3,4
XB-GENE-6253026,34,39,97,77,42,60
XB-GENE-6253057,1,4,6,4,3,4
XB-GENE-6253058,1,0,0,0,0,0
XB-GENE-6253059,0,4,11,0,2,5
XB-GENE-6253060,0,1,2,2,1,0
XB-GENE-6253061,0,0,0,0,0,0
XB-GENE-6253062,523,544,1411,714,567,526
XB-GENE-6253064,0,1,1,0,0,0
XB-GENE-6253066,0,0,0,3,0,0
XB-GENE-6253069,1,1,0,3,1,0
XB-GENE-6253070,0,0,0,1,0,0
XB-GENE-6253071,0,0,0,0,0,0
XB-GENE-6253077,375,279,453,539,290,463
XB-GENE-6253078,74,52,91,99,57,66
XB-GENE-6253079,12,8,20,17,9,12
XB-GENE-6253080,36,24,47,80,38,88
XB-GENE-6253082,722,613,798,1135,539,569
XB-GENE-6253086,0,0,0,0,0,0
XB-GENE-6253087,0,0,0,0,0,0
XB-GENE-6253088,2,4,2,4,2,0
XB-GENE-6253090,58,65,84,93,44,38
XB-GENE-6253091,0,0,0,0,0,0
XB-GENE-6253095,155,107,306,194,140,248
XB-GENE-6253098,6,4,18,27,12,17
XB-GENE-6253110,28,15,33,36,20,28
XB-GENE-6253114,139,126,281,303,200,228
XB-GENE-6253117,307,204,325,385,180,231
XB-GENE-6253120,3,2,12,33,17,27
XB-GENE-6253126,375,301,542,653,332,525
XB-GENE-6253136,87,130,125,179,102,148
XB-GENE-6253143,4,8,16,7,0,9
XB-GENE-6253203,182,105,182,296,133,210
XB-GENE-6253205,263,194,345,424,177,288
XB-GENE-6253207,172,122,237,276,119,225
XB-GENE-6253211,82,66,108,141,55,115
XB-GENE-6253212,12,9,10,13,4,15
XB-GENE-6253238,358,249,198,399,209,204
XB-GENE-6253239,31,15,48,40,12,30
XB-GENE-6253243,190,86,158,315,83,218
XB-GENE-6253246,156,196,226,243,145,173
XB-GENE-6253252,41,30,40,75,17,52
XB-GENE-6253253,0,0,0,0,0,0
XB-GENE-6253256,774,635,931,1418,552,947
XB-GENE-6253257,93,42,51,141,26,54
XB-GENE-6253258,313,314,1023,371,356,468
XB-GENE-6253259,21,20,32,53,21,29
XB-GENE-6253264,2,1,2,0,0,12
XB-GENE-6253275,995,1030,1374,1986,973,1294
XB-GENE-6253280,0,0,0,0,0,0
XB-GENE-6253281,0,1,0,1,0,0
XB-GENE-6253283,475,209,522,736,223,529
XB-GENE-6253381,0,1,2,1,1,0
XB-GENE-6253382,41,37,45,59,19,51
XB-GENE-6253385,0,0,0,0,0,0
XB-GENE-6253386,586,654,1067,974,521,1003
XB-GENE-6253389,175,110,261,255,144,312
XB-GENE-6253390,92,86,194,175,72,151
XB-GENE-6253397,179,135,227,267,128,215
XB-GENE-6253399,597,814,1563,1059,703,985
XB-GENE-6253400,56,52,70,72,62,76
XB-GENE-6253402,1,0,0,0,0,0
XB-GENE-6253403,123,107,144,155,81,101
XB-GENE-6253404,50,104,108,88,101,81
XB-GENE-6253405,265,235,351,427,230,350
XB-GENE-6253409,66,23,22,252,85,266
XB-GENE-6253410,46,32,99,109,38,86
XB-GENE-6253412,1118,666,1078,1986,619,1357
XB-GENE-6253413,860,562,880,1355,524,1083
XB-GENE-6253414,299,213,333,462,190,361
XB-GENE-6253415,59,48,100,84,37,64
XB-GENE-6253416,76,59,60,115,50,87
XB-GENE-6253417,64,66,119,127,58,94
XB-GENE-6253419,68,35,61,118,39,131
XB-GENE-6253420,178,161,276,304,125,257
XB-GENE-6253421,788,966,1453,1302,907,904
XB-GENE-6253422,225,164,304,333,132,271
XB-GENE-6253423,0,0,1,0,0,0
XB-GENE-6253424,0,0,0,0,0,0
XB-GENE-6253425,386,303,452,637,265,394
XB-GENE-6253432,143,159,216,302,130,214
XB-GENE-6253434,199,158,208,420,168,363
XB-GENE-6253435,15,2,26,124,42,104
XB-GENE-6253436,0,0,1,0,2,0
XB-GENE-6253440,476,400,641,663,305,587
XB-GENE-6253445,209,180,434,530,252,477
XB-GENE-6253448,51,40,100,70,28,65
XB-GENE-6253450,3,0,3,14,1,3
XB-GENE-6253453,0,0,0,0,1,0
XB-GENE-6253457,0,0,0,4,1,0
XB-GENE-6253458,169,178,440,284,176,402
XB-GENE-6253459,93,71,121,113,50,126
XB-GENE-6253462,73,60,145,123,57,104
XB-GENE-6253464,202,145,408,281,213,304
XB-GENE-6253468,153,95,316,151,96,217
XB-GENE-6253473,18,12,23,30,9,35
XB-GENE-6253474,266,122,169,432,124,232
XB-GENE-6253475,507,373,658,764,409,601
XB-GENE-6253554,0,0,2,1,1,2
XB-GENE-6253595,3,2,3,4,2,2
XB-GENE-6253596,188,102,166,327,101,223
XB-GENE-6253598,0,0,0,0,1,1
XB-GENE-6253599,10,2,22,16,12,21
XB-GENE-6253601,37,28,34,44,19,39
XB-GENE-6253603,102,84,108,176,77,85
XB-GENE-6253606,444,283,467,1335,393,1159
XB-GENE-6253608,798,701,1168,1311,555,1022
XB-GENE-6253609,136,115,145,222,95,125
XB-GENE-6253610,102,79,138,132,71,74
XB-GENE-6253611,228,237,344,369,235,322
XB-GENE-6253612,58,45,61,89,44,52
XB-GENE-6253613,112,76,153,153,82,151
XB-GENE-6253615,25482,13649,31294,27777,12321,27664
XB-GENE-6253616,57,32,75,73,42,64
XB-GENE-6253617,118,88,187,185,82,144
XB-GENE-6253619,360,330,549,577,321,520
XB-GENE-6253620,462,330,567,629,283,464
XB-GENE-6253621,2,2,0,1,2,1
XB-GENE-6253622,2009,1300,2295,2407,1124,1861
XB-GENE-6253624,2,4,6,10,4,7
XB-GENE-6253625,241,141,227,330,136,272
XB-GENE-6253626,1009,589,854,1869,586,1134
XB-GENE-6253627,911,699,1050,1463,734,1070
XB-GENE-6253629,6387,5686,4979,7235,5879,4880
XB-GENE-6253630,634,363,657,958,309,520
XB-GENE-6253632,34,30,51,47,23,65
XB-GENE-6253633,212,195,399,466,235,419
XB-GENE-6253634,7,2,6,8,2,3
XB-GENE-6253635,13,13,22,15,17,25
XB-GENE-6253636,68,42,114,112,55,131
XB-GENE-6253637,69,64,121,104,58,82
XB-GENE-6253647,77,47,131,350,120,382
XB-GENE-6253648,103,54,94,135,43,104
XB-GENE-6253653,201,187,207,288,162,157
XB-GENE-6253655,549,485,926,1032,465,1016
XB-GENE-6253656,0,0,0,0,0,0
XB-GENE-6253736,47,58,74,66,51,53
XB-GENE-6253741,2541,2278,3377,3118,1958,2036
XB-GENE-6253742,2,3,5,8,2,5
XB-GENE-6253745,6,5,15,12,5,16
XB-GENE-6253746,22,23,26,56,21,31
XB-GENE-6253750,63,25,116,83,34,102
XB-GENE-6253751,21,25,53,41,22,49
XB-GENE-6253752,9,20,19,35,18,29
XB-GENE-6253753,27,19,36,34,13,31
XB-GENE-6253754,0,0,0,0,2,1
XB-GENE-6253756,163,161,325,298,185,302
XB-GENE-6253757,15,1,10,13,5,12
XB-GENE-6253761,90,61,91,156,46,129
XB-GENE-6253762,51,30,42,53,28,39
XB-GENE-6253763,41,34,75,59,49,55
XB-GENE-6253766,159,183,593,303,212,387
XB-GENE-6253767,30,27,51,61,19,42
XB-GENE-6253768,51,39,49,83,51,32
XB-GENE-6253770,159,221,415,223,224,207
XB-GENE-6253773,623,849,1050,866,645,653
XB-GENE-6253774,50,54,88,84,47,72
XB-GENE-6253776,1749,1233,2869,2963,1515,3546
XB-GENE-6253779,610,605,1572,775,586,1247
XB-GENE-6253782,80,39,35,88,34,32
XB-GENE-6253783,58,46,69,89,44,66
XB-GENE-6253784,1682,683,1096,2227,701,1713
XB-GENE-6253785,30,22,36,59,17,42
XB-GENE-6253786,525,229,600,590,213,702
XB-GENE-6253787,259,212,506,345,200,395
XB-GENE-6253788,1,1,1,1,2,1
XB-GENE-6253789,474,363,888,647,393,779
XB-GENE-6253799,709,343,669,1037,349,855
XB-GENE-6253809,1,0,0,22,5,78
XB-GENE-6253813,0,0,0,0,0,0
XB-GENE-6253815,41,17,22,41,17,28
XB-GENE-6253820,32,20,94,74,30,88
XB-GENE-6253822,1,0,2,2,0,0
XB-GENE-6253825,153,69,215,200,70,189
XB-GENE-6253829,340,294,711,381,203,467
XB-GENE-6253833,0,0,0,0,0,0
XB-GENE-6253837,88,60,154,115,74,94
XB-GENE-6253838,0,1,0,0,0,0
XB-GENE-6253839,0,0,0,0,0,0
XB-GENE-6253842,2189,2239,4467,5065,2413,4131
XB-GENE-6253843,136,95,151,240,85,139
XB-GENE-6253845,210,128,232,320,120,250
XB-GENE-6253846,462,311,722,857,313,731
XB-GENE-6253847,23,15,33,37,14,33
XB-GENE-6253853,206,149,194,282,146,234
XB-GENE-6253857,622,715,1230,1312,658,957
XB-GENE-6253859,92,99,174,165,81,116
XB-GENE-6253860,230,108,196,342,149,311
XB-GENE-6253865,175,127,198,222,85,190
XB-GENE-6253870,211,164,247,356,138,272
XB-GENE-6253871,56,51,78,80,46,79
XB-GENE-6253873,235,133,160,348,131,127
XB-GENE-6253875,1965,1644,2932,2394,1517,1725
XB-GENE-6253879,211,172,259,264,136,160
XB-GENE-6253882,214,150,236,362,138,230
XB-GENE-6253883,44,54,75,78,49,42
XB-GENE-6253884,238,297,435,426,310,293
XB-GENE-6253886,0,0,0,0,0,1
XB-GENE-6253887,33,16,56,57,26,66
XB-GENE-6253888,303,322,715,735,393,1222
XB-GENE-6253889,257,177,319,436,188,320
XB-GENE-6253891,790,585,964,1011,566,978
XB-GENE-6253892,130,89,198,219,110,280
XB-GENE-6253893,346,268,289,442,205,260
XB-GENE-6253894,0,0,0,0,0,0
XB-GENE-6253895,842,449,821,891,360,582
XB-GENE-6253896,773,523,1064,1342,494,1149
XB-GENE-6253898,3569,2983,5342,6634,3162,5692
XB-GENE-6253900,480,415,592,739,301,450
XB-GENE-6253901,1241,1060,1464,2305,1030,1440
XB-GENE-6253902,1280,1260,2074,2151,1194,1676
XB-GENE-6253903,818,379,919,1221,401,1108
XB-GENE-6253904,175,228,480,434,248,421
XB-GENE-6253909,68,66,84,126,65,88
XB-GENE-6253910,6,2,37,11,6,16
XB-GENE-6253911,52,42,78,123,46,105
XB-GENE-6253912,122,128,186,230,102,173
XB-GENE-6253913,553,273,690,1032,294,712
XB-GENE-6253914,26,19,21,42,23,25
XB-GENE-6253915,259,186,367,340,203,325
XB-GENE-6253916,45,37,52,65,27,73
XB-GENE-6253917,249,146,320,348,144,324
XB-GENE-6253918,11605,9311,17360,16629,9390,16022
XB-GENE-6253919,500,403,655,729,364,488
XB-GENE-6253920,164,89,429,233,58,448
XB-GENE-6253921,242,174,258,489,167,323
XB-GENE-6253922,116,91,300,170,90,202
XB-GENE-6253923,267,232,431,409,229,408
XB-GENE-6253924,131,106,147,332,126,254
XB-GENE-6253926,16,8,20,35,9,38
XB-GENE-6253928,120,75,163,210,58,150
XB-GENE-6253929,0,0,4,0,0,3
XB-GENE-6253933,22,15,24,21,13,25
XB-GENE-6253935,104,81,151,209,78,167
XB-GENE-6253937,200,124,201,231,98,161
XB-GENE-6253938,63,70,90,112,63,90
XB-GENE-6253942,55,47,83,77,52,41
XB-GENE-6253943,47,25,89,76,26,98
XB-GENE-6253946,669,690,900,1287,610,845
XB-GENE-6253947,3,5,4,12,4,10
XB-GENE-6253950,35,31,36,50,28,40
XB-GENE-6253952,95,60,121,126,53,117
XB-GENE-6253953,187,85,160,270,79,195
XB-GENE-6253956,62,49,83,121,44,134
XB-GENE-6253959,11,3,26,15,6,21
XB-GENE-6253961,185,146,226,241,131,193
XB-GENE-6253962,44,37,76,59,31,62
XB-GENE-6253963,988,668,1190,1519,637,1327
XB-GENE-6253965,49,32,64,64,28,71
XB-GENE-6253966,17,26,35,48,33,47
XB-GENE-6253969,41,27,43,51,30,33
XB-GENE-6253970,53,32,45,71,34,52
XB-GENE-6253971,0,1,0,0,0,0
XB-GENE-6253974,1289,1314,1737,2323,1307,1600
XB-GENE-6253976,12,0,1,12,0,2
XB-GENE-6253978,187,126,207,293,123,202
XB-GENE-6253979,206,101,216,230,118,246
XB-GENE-6253980,416,293,485,518,249,352
XB-GENE-6253981,383,291,826,587,271,584
XB-GENE-6253983,912,649,1084,1267,500,1164
XB-GENE-6253984,0,0,0,0,0,0
XB-GENE-6253985,0,0,0,0,0,0
XB-GENE-6253986,14,14,18,30,13,13
XB-GENE-6253988,283,241,455,507,223,530
XB-GENE-6253989,0,1,0,0,0,1
XB-GENE-6253990,18,17,36,48,17,40
XB-GENE-6253992,46,33,45,70,27,33
XB-GENE-6253993,158,173,211,261,166,238
XB-GENE-6253996,171,134,195,206,113,201
XB-GENE-6253998,108,86,124,200,61,152
XB-GENE-6254001,104,120,220,184,71,147
XB-GENE-6254002,26,25,26,44,18,31
XB-GENE-6254003,34,24,45,25,18,36
XB-GENE-6254004,61,56,135,139,58,153
XB-GENE-6254005,269,254,477,372,210,375
XB-GENE-6254007,2,0,3,4,1,3
XB-GENE-6254008,105,94,161,152,83,102
XB-GENE-6254009,0,0,1,0,0,1
XB-GENE-6254010,2,0,5,8,3,4
XB-GENE-6254011,15,16,6,13,8,6
XB-GENE-6254012,19,15,46,41,21,62
XB-GENE-6254013,402,412,635,665,437,531
XB-GENE-6254016,45,29,59,87,30,62
XB-GENE-6254018,31,8,20,57,11,16
XB-GENE-6254019,1688,1596,2790,3101,1494,2787
XB-GENE-6254020,506,307,514,621,281,442
XB-GENE-6254021,314,208,327,483,195,332
XB-GENE-6254023,262,196,287,447,167,241
XB-GENE-6254024,507,468,830,738,379,681
XB-GENE-6254025,369,206,488,660,203,446
XB-GENE-6254027,164,110,230,458,155,420
XB-GENE-6254029,281,283,694,316,173,202
XB-GENE-6254030,51,24,53,78,37,51
XB-GENE-6254032,47,32,30,53,26,46
XB-GENE-6254033,311,227,388,578,203,403
XB-GENE-6254034,266,179,350,298,125,218
XB-GENE-6254037,1638,867,1711,2296,1029,1916
XB-GENE-6254039,52,51,75,48,59,105
XB-GENE-6254040,2,2,2,113,14,25
XB-GENE-6254041,86,55,157,137,110,192
XB-GENE-6254042,198,179,289,318,161,240
XB-GENE-6254044,60,63,179,145,62,173
XB-GENE-6254045,612,498,1015,972,464,814
XB-GENE-6254046,457,457,970,900,353,669
XB-GENE-6254047,0,0,0,0,0,2
XB-GENE-6254048,0,0,0,2,0,0
XB-GENE-6254049,428,393,561,729,422,646
XB-GENE-6254051,6,1,0,32,36,49
XB-GENE-6254052,7,8,22,7,8,14
XB-GENE-6254053,67,51,105,67,51,81
XB-GENE-6254054,45,51,86,97,54,70
XB-GENE-6254055,37,34,88,113,50,61
XB-GENE-6254056,42,20,68,136,102,181
XB-GENE-6254058,3,0,0,5,0,0
XB-GENE-6254060,529,497,1091,667,487,820
XB-GENE-6254062,638,585,1001,934,611,699
XB-GENE-6254063,0,1,2,0,2,2
XB-GENE-6254065,0,0,0,0,0,0
XB-GENE-6254068,278,183,413,469,177,324
XB-GENE-6254069,275,201,374,364,184,306
XB-GENE-6254070,151,111,354,398,315,532
XB-GENE-6254071,183,123,253,249,113,195
XB-GENE-6254072,477,542,962,696,511,688
XB-GENE-6254075,75,51,98,88,41,58
XB-GENE-6254076,75,55,53,63,39,55
XB-GENE-6254078,193,172,321,378,147,330
XB-GENE-6254079,9,5,6,14,8,20
XB-GENE-6254081,161,113,244,421,141,396
XB-GENE-6254082,162,183,297,281,138,223
XB-GENE-6254083,16,9,30,15,5,21
XB-GENE-6254084,1,0,2,1,0,3
XB-GENE-6254085,1226,1071,1018,1514,942,656
XB-GENE-6254086,4,3,6,7,4,6
XB-GENE-6254087,163,199,289,329,194,184
XB-GENE-6254088,1196,1204,3232,1371,1147,1622
XB-GENE-6254089,0,0,0,0,0,0
XB-GENE-6254092,16,9,37,15,11,23
XB-GENE-6254094,97,91,123,164,74,108
XB-GENE-6254095,32,27,56,49,32,55
XB-GENE-6254097,8,5,10,12,6,8
XB-GENE-6254098,19,7,20,54,24,89
XB-GENE-6254103,121,124,225,142,96,179
XB-GENE-6254107,238,202,468,405,144,278
XB-GENE-6254108,133,111,217,216,94,155
XB-GENE-6254113,6,3,3,7,1,7
XB-GENE-6254115,95,61,74,101,51,70
XB-GENE-6254116,221,175,315,398,168,363
XB-GENE-6254121,14,19,55,21,21,26
XB-GENE-6254125,678,576,951,973,665,931
XB-GENE-6254128,62,52,83,88,46,79
XB-GENE-6254129,32,15,36,57,17,45
XB-GENE-6254130,2,0,4,7,3,2
XB-GENE-6254135,67,68,124,124,62,86
XB-GENE-6254136,5,1,37,16,5,34
XB-GENE-6254145,114,99,145,180,100,177
XB-GENE-6254146,190,160,226,295,140,201
XB-GENE-6254148,25,16,48,42,16,27
XB-GENE-6254149,7,10,14,28,13,21
XB-GENE-6254154,0,0,0,0,0,14
XB-GENE-6254158,7,10,12,11,11,17
XB-GENE-6254159,106,93,153,161,80,146
XB-GENE-6254160,33,40,54,63,31,46
XB-GENE-6254161,0,0,1,0,0,0
XB-GENE-6254162,0,0,0,0,0,0
XB-GENE-6254163,0,0,1,3,0,0
XB-GENE-6254164,1,2,3,8,1,2
XB-GENE-6254166,51,17,44,45,21,53
XB-GENE-6254167,3,4,3,5,5,7
XB-GENE-6254169,134,32,119,189,33,97
XB-GENE-6254170,4,6,5,4,3,4
XB-GENE-6254171,225,192,367,303,150,240
XB-GENE-6254177,73,55,95,125,46,130
XB-GENE-6254178,246,127,314,596,129,435
XB-GENE-6254179,199,139,269,315,164,238
XB-GENE-6254180,8458,7163,10206,11288,5986,7583
XB-GENE-6254182,1369,1386,2131,1761,1350,1437
XB-GENE-6254183,1767,1331,1974,2564,1320,1680
XB-GENE-6254184,3394,2530,4322,5255,2292,3845
XB-GENE-6254188,0,0,0,0,0,0
XB-GENE-6254190,793,380,891,1236,745,1613
XB-GENE-6254191,694,464,810,1325,524,1074
XB-GENE-6254192,952,825,1179,1231,662,907
XB-GENE-6254194,115,105,203,190,97,167
XB-GENE-6254196,341,172,464,707,231,646
XB-GENE-6254202,632,591,937,866,508,768
XB-GENE-6254205,2,2,3,4,2,5
XB-GENE-6254210,7,8,11,8,7,8
XB-GENE-6254211,4,10,21,14,9,13
XB-GENE-6254212,526,391,574,710,402,560
XB-GENE-6254213,290,363,377,448,299,343
XB-GENE-6254214,44,10,0,456,59,15
XB-GENE-6254215,1,0,2,3,1,15
XB-GENE-6254216,460,233,474,458,188,294
XB-GENE-6254218,26,16,56,111,31,93
XB-GENE-6254219,1183,730,1107,1755,735,1148
XB-GENE-6254220,0,0,2,0,0,2
XB-GENE-6254221,151,122,204,231,139,188
XB-GENE-6254222,2,2,1,1,1,1
XB-GENE-6254223,306,317,612,615,349,542
XB-GENE-6254224,152,126,201,280,119,224
XB-GENE-6254225,15,17,42,28,22,37
XB-GENE-6254226,262,163,209,510,170,297
XB-GENE-6254227,0,1,1,5,1,6
XB-GENE-6254228,0,0,0,0,1,0
XB-GENE-6254229,100,111,180,216,111,176
XB-GENE-6254232,139,130,197,294,123,216
XB-GENE-6254236,6,3,7,10,0,0
XB-GENE-6254239,0,0,1,0,0,0
XB-GENE-6254241,0,0,0,0,0,0
XB-GENE-6254242,83,5,7,281,157,99
XB-GENE-6254244,425,402,784,641,423,677
XB-GENE-6254256,120,73,26,148,87,19
