xenbase_gene_id,S14_C_5,S14_C_6,S14_C_A,S14_F_5,S14_F_6,S14_F_A
XB-GENE-1004886,791,744,1128,1152,610,660
XB-GENE-1004917,112,67,153,240,90,232
XB-GENE-1004928,156,119,200,242,109,173
XB-GENE-1004939,0,0,0,0,0,0
XB-GENE-1004954,16,12,27,21,11,8
XB-GENE-1004965,827,911,1402,1505,677,1233
XB-GENE-1004974,2,0,0,0,3,1
XB-GENE-1004981,0,0,0,0,0,0
XB-GENE-1004988,30,18,29,49,21,20
XB-GENE-1005017,24,24,223,55,21,191
XB-GENE-1005029,48,20,53,59,31,67
XB-GENE-1005039,234,224,341,280,211,265
XB-GENE-1005050,69,40,78,57,24,46
XB-GENE-1005073,548,235,625,638,241,768
XB-GENE-1005089,76,56,80,108,48,83
XB-GENE-1005108,97,75,78,182,64,115
XB-GENE-1005120,14,4,25,27,8,24
XB-GENE-1005163,464,254,344,821,261,579
XB-GENE-1005177,241,204,377,406,195,292
XB-GENE-1005189,65,52,81,87,47,93
XB-GENE-1005200,216,172,292,301,172,260
XB-GENE-1005239,434,369,695,746,376,633
XB-GENE-1005323,21,13,19,25,9,19
XB-GENE-1005338,78,80,115,106,62,83
XB-GENE-1005355,25,29,32,50,27,29
XB-GENE-1005365,326,333,425,517,274,307
XB-GENE-1005376,50,40,82,68,39,53
XB-GENE-1005385,652,381,504,810,410,476
XB-GENE-1005396,256,214,244,332,168,196
XB-GENE-1005406,92,66,68,177,71,76
XB-GENE-1005416,368,216,333,532,231,493
XB-GENE-1005429,565,302,781,685,317,714
XB-GENE-1005530,460,326,624,824,367,698
XB-GENE-1005539,827,585,901,1235,538,883
XB-GENE-1005566,492,299,619,503,268,572
XB-GENE-1005578,820,547,1112,1200,543,1075
XB-GENE-1005594,11,26,48,41,28,26
XB-GENE-1005605,429,271,490,634,303,616
XB-GENE-1005621,58,43,63,82,25,74
XB-GENE-1005634,816,943,1443,1106,766,821
XB-GENE-1005657,81,100,147,93,88,108
XB-GENE-1005683,124,146,180,209,133,123
XB-GENE-1005712,138,103,73,119,55,49
XB-GENE-1005726,167,161,243,286,136,180
XB-GENE-1005782,0,1,0,0,0,0
XB-GENE-1005792,502,329,695,675,333,725
XB-GENE-1005821,364,216,285,546,256,290
XB-GENE-1005838,100,90,138,132,82,116
XB-GENE-1005870,106,23,72,108,28,77
XB-GENE-1005886,1,0,1,0,1,5
XB-GENE-1005907,13,10,18,15,13,24
XB-GENE-1005938,109,75,78,248,200,364
XB-GENE-1005955,1,2,4,1,2,5
XB-GENE-1005966,55,41,73,94,40,53
XB-GENE-1006009,8,0,0,41,24,38
XB-GENE-1006032,623,500,1117,1086,480,958
XB-GENE-1006047,6,2,25,5,1,22
XB-GENE-1006067,11,7,35,22,9,26
XB-GENE-1006081,25,86,68,46,58,69
XB-GENE-1006101,152,120,194,407,146,283
XB-GENE-1006110,121,57,182,166,63,173
XB-GENE-1006122,20,14,31,23,16,23
XB-GENE-1006134,837,646,955,1473,488,921
XB-GENE-1006159,194,119,282,313,134,391
XB-GENE-1006181,88,63,114,116,56,87
XB-GENE-1006193,69,36,61,87,36,69
XB-GENE-1006209,86,114,233,207,397,315
XB-GENE-1006260,56,39,79,88,28,98
XB-GENE-1006271,139,138,185,202,123,143
XB-GENE-1006309,450,267,621,794,255,731
XB-GENE-1006336,384,435,635,736,410,640
XB-GENE-1006367,34,28,41,51,19,17
XB-GENE-1006378,133,52,0,149,53,0
XB-GENE-1006390,41,22,37,72,25,46
XB-GENE-1006409,208,188,365,330,177,431
XB-GENE-1006426,304,260,529,488,260,524
XB-GENE-1006438,0,0,0,0,0,3
XB-GENE-1006461,13,12,35,27,7,25
XB-GENE-1006529,2,2,2,4,6,4
XB-GENE-1006541,473,352,751,687,351,930
XB-GENE-1006600,497,339,722,653,281,564
XB-GENE-1006620,485,218,639,637,248,702
XB-GENE-1006643,1784,1207,2499,2561,1098,1803
XB-GENE-1006655,87,118,140,116,117,83
XB-GENE-1006686,29,22,52,49,31,52
XB-GENE-1006695,218,89,152,302,83,134
XB-GENE-1006717,107,60,237,164,79,178
XB-GENE-1006737,57,23,52,59,27,36
XB-GENE-1006757,280,128,292,412,155,386
XB-GENE-1006781,31,21,54,46,26,43
XB-GENE-1006792,378,333,472,615,297,468
XB-GENE-1006800,46,32,44,74,29,36
XB-GENE-1006818,27,33,23,73,29,35
XB-GENE-1006830,467,595,704,744,513,531
XB-GENE-1006841,119,108,212,129,113,120
XB-GENE-1006863,171,139,280,238,151,296
XB-GENE-1006876,0,0,0,0,0,0
XB-GENE-1006885,333,331,494,608,369,545
XB-GENE-1006898,640,363,840,1043,435,1045
XB-GENE-1006919,124,123,180,184,114,208
XB-GENE-1006936,52,36,121,79,35,115
XB-GENE-1006950,60,52,142,73,85,113
XB-GENE-1007000,3,2,5,3,3,7
XB-GENE-1007013,49,29,52,80,28,95
XB-GENE-1007026,965,914,1115,2066,1016,1429
XB-GENE-1007038,56,47,124,87,44,80
XB-GENE-1007055,723,600,891,1106,580,1021
XB-GENE-1007091,4,15,20,21,39,3
XB-GENE-1007116,168,98,363,583,135,355
XB-GENE-1007143,32,14,37,48,14,40
XB-GENE-1007158,95,64,97,151,41,65
XB-GENE-1007170,164,133,189,263,146,235
XB-GENE-1007182,3,0,0,2,3,0
