Top,p.value,FDR,summary.logFC,logFC.hspc,ensembl_gene_id
155,0.00151999777011373,0.002745802423431253,-0.19028411833811934,-0.19028411833811934,ENSMUSG00000003379
156,0.0015507937927013054,0.0027834760381818314,-0.1909680656002593,-0.1909680656002593,ENSMUSG00000039646
157,0.0018618965932510687,0.0033205799115305686,-0.12933483480941332,-0.12933483480941332,ENSMUSG00000039497
158,0.0019167870240751057,0.0033968377641837304,-0.2494276508757157,-0.2494276508757157,ENSMUSG00000028476
159,0.002266663869976109,0.003991609330775536,-0.13819547915705532,-0.13819547915705532,ENSMUSG00000025089
160,0.0024962929524598434,0.004368512666804726,-0.399981450505659,-0.399981450505659,ENSMUSG00000032193
161,0.003319434706488297,0.005772929924327471,-0.1270435348018633,-0.1270435348018633,ENSMUSG00000020695
162,0.003348139205900506,0.005786907269457665,-0.32007797383496583,-0.32007797383496583,ENSMUSG00000049488
163,0.004120051785646233,0.007077389570435244,-0.40682233289453834,-0.40682233289453834,ENSMUSG00000024413
164,0.004668632804949824,0.007970836496255799,0.3616996346841817,0.3616996346841817,ENSMUSG00000024620
165,0.0049410521793313055,0.008384815819471307,-0.18659035583479533,-0.18659035583479533,ENSMUSG00000023274
166,0.004982243339087667,0.008403783945449076,-0.15120729884874418,-0.15120729884874418,ENSMUSG00000020399
167,0.0055822225905628265,0.009359415121901747,-0.08171991011822011,-0.08171991011822011,ENSMUSG00000033777
168,0.005776845814534268,0.009628076357557112,-0.2854414812775701,-0.2854414812775701,ENSMUSG00000027995
169,0.006602611943911674,0.01093923872364064,-0.14147683058009985,-0.14147683058009985,ENSMUSG00000022103
170,0.006983112193000213,0.011501596553176823,0.3892296582240302,0.3892296582240302,ENSMUSG00000000290
171,0.00795246454244239,0.013021579367741929,0.2703093925927553,0.2703093925927553,ENSMUSG00000034220
172,0.008436560769622,0.013733936136593954,0.2648831003165889,0.2648831003165889,ENSMUSG00000015316
173,0.008985218920990282,0.014542550854781962,-0.33077772500817715,-0.33077772500817715,ENSMUSG00000021756
174,0.011886648542539001,0.019127940183396096,-0.09362673039747664,-0.09362673039747664,ENSMUSG00000030077
175,0.01488716130457442,0.023819458087319074,-0.05945735725213598,-0.05945735725213598,ENSMUSG00000028347
176,0.01631811265111041,0.025960633763130198,-0.3946152561728464,-0.3946152561728464,ENSMUSG00000025790
177,0.018207054057767236,0.028802119413417097,0.10039015013177824,0.10039015013177824,ENSMUSG00000031647
178,0.0186807808447047,0.029385497957962452,-0.09407783701793616,-0.09407783701793616,ENSMUSG00000030724
179,0.01967723734140083,0.03078003606476107,0.17200584900078184,0.17200584900078184,ENSMUSG00000074743
180,0.02153598432312021,0.03350042005818699,-0.3177878518690722,-0.3177878518690722,ENSMUSG00000026814
181,0.025657985848106166,0.03969191180922502,0.34421604394469885,0.34421604394469885,ENSMUSG00000015189
182,0.03174228581151008,0.04883428586386166,0.16947249400084852,0.16947249400084852,ENSMUSG00000009376
183,0.033793771723227464,0.051706317390730554,-0.3415423522874472,-0.3415423522874472,ENSMUSG00000001281
184,0.034968058057129624,0.05321226226084944,-0.3473710194307426,-0.3473710194307426,ENSMUSG00000031934
185,0.036135087050388426,0.054690942562750054,-0.05369034164915994,-0.05369034164915994,ENSMUSG00000026770
186,0.04134251490004243,0.06223604393554775,-0.2783855300178002,-0.2783855300178002,ENSMUSG00000038963
187,0.042801037803416014,0.06408711542757477,0.28977747171600843,0.28977747171600843,ENSMUSG00000002103
188,0.04644776050390996,0.06917751564412122,0.3588880747341516,0.3588880747341516,ENSMUSG00000026581
189,0.048086462684871704,0.0712392039775877,-0.0910439044617856,-0.0910439044617856,ENSMUSG00000044393
190,0.050986366587266047,0.07513780339176049,0.2742802810646685,0.2742802810646685,ENSMUSG00000001143
191,0.053009789969295555,0.07771068686598302,-0.30194398783817755,-0.30194398783817755,ENSMUSG00000032440
192,0.05742957336015127,0.08375146115022057,0.2983428833335573,0.2983428833335573,ENSMUSG00000025986
193,0.06500344972596883,0.09430552291850401,0.16661787543650186,0.16661787543650186,ENSMUSG00000067586
194,0.0688136503575277,0.09928249743372693,-0.12434559855394152,-0.12434559855394152,ENSMUSG00000022037
195,0.06914316785563125,0.09928249743372693,-0.0962853709302249,-0.0962853709302249,ENSMUSG00000056004
196,0.06950618250848278,0.0992945464406897,-0.22097379038826934,-0.22097379038826934,ENSMUSG00000047139
197,0.07041920382988115,0.10005617516033874,-0.07105569778973286,-0.07105569778973286,ENSMUSG00000025969
198,0.0707540095776681,0.10005617516033874,0.21325087714518956,0.21325087714518956,ENSMUSG00000022514
199,0.07140454389617604,0.1004687049795442,0.2555388408910968,0.2555388408910968,ENSMUSG00000001986
200,0.07481662624225131,0.10474327673915183,-0.061785211747115584,-0.061785211747115584,ENSMUSG00000025020
201,0.07647085513770893,0.10652656437093783,0.27787414210328354,0.27787414210328354,ENSMUSG00000027111
202,0.08605445000370908,0.11928339604474524,0.24432231342851018,0.24432231342851018,ENSMUSG00000002897
203,0.08892048196031754,0.12264894063492074,-0.25472880220374705,-0.25472880220374705,ENSMUSG00000020101
204,0.09155580798794631,0.12519581818945746,-0.24586419076857835,-0.24586419076857835,ENSMUSG00000064210
205,0.09166122403156704,0.12519581818945746,0.06751899929679751,0.06751899929679751,ENSMUSG00000005339
206,0.10244242393651942,0.13924212962245358,-0.05435244079161927,-0.05435244079161927,ENSMUSG00000002033
207,0.1074676322073909,0.14536684549792006,0.21540542022176457,0.21540542022176457,ENSMUSG00000016534
208,0.10922007231136308,0.14702702041914262,-0.27368940965370303,-0.27368940965370303,ENSMUSG00000032231
