xenbase_gene_id,min,lowerq,sd,mean,median,upperq,max,total,n_zero
XB-GENE-6255866,230,311.75,139.3628357920432,393,351,484,599,2358,0
XB-GENE-6255870,40,44.25,22.294991963817047,58.333333333333336,49.5,64.5,99,350,0
XB-GENE-6255871,61,69.25,31.639637587473512,87.33333333333333,75.5,92.25,147,524,0
XB-GENE-6255873,193,215.25,50.22648703622422,255.5,261,296.25,310,1533,0
XB-GENE-6255874,8,15,7.420691791650336,18.666666666666668,18,24.75,27,112,0
XB-GENE-6255879,14,22.75,9.055385138137417,28,31.5,32.75,38,168,0
XB-GENE-6255880,70,80.75,27.560841786854045,102,99.5,122,139,612,0
XB-GENE-6255881,25,37,19.009646673903926,45.833333333333336,42.5,47.25,81,275,0
XB-GENE-6255882,41,58.5,36.31207329066555,79.83333333333333,74,87.25,145,479,0
XB-GENE-6255884,105,112.75,33.862959114643246,139.5,132,167.75,182,837,0
XB-GENE-6255885,78,121.5,50.428827734408685,149.66666666666666,150,180,218,898,0
XB-GENE-6255886,613,720,204.82032776720837,880.8333333333334,941.5,1001.75,1121,5285,0
XB-GENE-6255887,82,129,71.67333302328466,166.66666666666666,157,185,290,1000,0
XB-GENE-6255888,19,23.25,9.974968671630002,29.5,26.5,34.25,46,177,0
XB-GENE-6255889,17,23.75,8.547904226573124,29.333333333333332,31,34.5,40,176,0
XB-GENE-6255890,39,53.25,21.348692387747466,67.83333333333333,70,80,97,407,0
XB-GENE-6255891,37,40.25,30.138015860371432,64.5,58,79.5,113,387,0
XB-GENE-6255892,50,75,31.15552385479446,92.66666666666667,88.5,119.25,129,556,0
XB-GENE-6255893,23,29.5,16.03017987006592,41.833333333333336,41,52.5,64,251,0
XB-GENE-6255894,28,35.25,20.33142067507007,51.166666666666664,51,61.5,82,307,0
XB-GENE-6255895,286,289.75,93.18082778483279,346.6666666666667,307,353.5,527,2080,0
XB-GENE-6255896,52,60.25,26.64144640718042,83.16666666666667,84.5,106.5,112,499,0
XB-GENE-6255898,34,49.5,22.89687023736359,64.66666666666667,65,80.5,94,388,0
XB-GENE-6255908,116,133.75,48.44240566555987,167.66666666666666,160.5,187.25,248,1006,0
XB-GENE-6255910,1,1,2.756809750418044,3,2,3.75,8,18,0
XB-GENE-6255913,197,291.75,129.82860496310767,346.6666666666667,297.5,402.25,561,2080,0
XB-GENE-6255923,0,0,1.224744871391589,0.5,0,0,3,3,5
XB-GENE-6255924,108,111.5,27.720028860013837,134,131.5,144,180,804,0
XB-GENE-6255925,160,179.25,61.60411241684005,226.66666666666666,214,275.75,308,1360,0
XB-GENE-6255926,437,520.5,224.2150753183202,693,707.5,779,1045,4158,0
XB-GENE-6255928,38,43.25,22.639935217810734,60.166666666666664,57.5,67.25,99,361,0
XB-GENE-6255929,34,47.5,18.479718612576328,57.5,55,65.5,87,345,0
XB-GENE-6255931,93,98.5,27.818459099430125,117.66666666666667,105,140,155,706,0
XB-GENE-6255932,48,52.25,23.740261161158273,73,73.5,86.5,107,438,0
XB-GENE-6255934,29,34.5,11.75443178833697,44.166666666666664,49,50.75,57,265,0
XB-GENE-6255936,238,313.5,100.69309807529015,383.5,423,453,477,2301,0
XB-GENE-6255939,141,170.25,42.24058080408775,196.33333333333334,191.5,230,248,1178,0
XB-GENE-6255940,72,105,76.10781825804757,154,145,173.75,287,924,0
XB-GENE-6255941,60,62,18.326665454104482,75.66666666666667,68,88.25,103,454,0
XB-GENE-6255942,13,20.5,10.583005244258363,27,27,32,43,162,0
XB-GENE-6255943,0,0,2.804757862395017,1.3333333333333333,0,0.75,7,8,4
XB-GENE-6255945,140,163,68.61608169129644,209.16666666666666,183,267.5,297,1255,0
XB-GENE-6255946,30,33.75,16.452963258939103,43.5,38.5,44.75,75,261,0
XB-GENE-6255947,21,38,11.623252556836231,40.5,41,45.5,56,243,0
XB-GENE-6255955,48,54.25,15.215124054702938,63.5,60.5,66.75,91,381,0
XB-GENE-6255957,0,0,0,0,0,0,0,0,6
XB-GENE-6255960,58,72.5,63.31324242736796,108.16666666666667,81.5,119,227,649,0
XB-GENE-6255962,77,98,40.37697363597227,126.5,122,155.75,181,759,0
XB-GENE-6255963,8,12.75,4.535048695071164,14.833333333333334,15,17.25,21,89,0
XB-GENE-6255964,52,72.25,29.871390995398926,89.5,82,114.25,127,537,0
XB-GENE-6255969,7,9.25,2.756809750418044,11,11.5,13,14,66,0
XB-GENE-6255970,41,57.75,29.04307146291521,75.5,71,88.75,122,453,0
XB-GENE-6255971,149,183.5,78.48226975990606,238.33333333333334,220,298.5,345,1430,0
XB-GENE-6255973,78,89.75,23.08607083647338,106.83333333333333,107,122,138,641,0
XB-GENE-6255974,128,204.5,67.57637654289158,230.16666666666666,227,263,327,1381,0
XB-GENE-6255976,201,271.25,70.69771330578286,294.1666666666667,277,315,413,1765,0
XB-GENE-6255983,4,6.25,2.041241452319315,7.166666666666667,7.5,8,10,43,0
XB-GENE-6255985,118,134.25,44.70980503946161,166.16666666666666,154.5,197.25,231,997,0
XB-GENE-6255990,0,0.25,0.8944271909999159,1,1,1.75,2,6,2
XB-GENE-6255992,30,40.25,27.833433133553612,58.5,50,72.5,104,351,0
XB-GENE-6255994,326,435.25,259.18101782345093,614,589,712,1043,3684,0
XB-GENE-6255996,15,18.5,5.115336417740935,21.833333333333332,22,24.75,29,131,0
XB-GENE-6255998,319,382.75,145.83506665636583,490.3333333333333,472.5,591.5,694,2942,0
XB-GENE-6255999,2493,3128.75,1023.3461617002658,3705.8333333333335,3388,4449.75,5120,22235,0
XB-GENE-6256004,12,13,4.049691346263317,15,13.5,14.75,23,90,0
XB-GENE-6256005,131,165.5,79.74960814950754,226,223.5,295,313,1356,0
XB-GENE-6256006,259,303.75,98.23118988725865,381.1666666666667,387,457.5,497,2287,0
XB-GENE-6256009,84,94.75,40.15802119958934,117.66666666666667,97,136,185,706,0
XB-GENE-6256010,98,130.25,67.30131251815722,178.33333333333334,177,217,273,1070,0
XB-GENE-6256011,3,4.5,5.946988033169957,8.833333333333334,7,12.5,18,53,0
XB-GENE-6256013,247,257.5,150.1036308688101,337.5,273,326,636,2025,0
XB-GENE-6256018,81,116.75,40.42111659351664,137.66666666666666,140.5,151.5,200,826,0
XB-GENE-6256019,129,152.75,52.80404024946071,185.33333333333334,168,214.75,269,1112,0
XB-GENE-6256022,0,0,0.408248290463863,0.16666666666666666,0,0,1,1,5
XB-GENE-6256023,252,351.5,166.0924441387988,450.5,409.5,553,699,2703,0
XB-GENE-6256025,51,71,33.78559850981875,90.66666666666667,88,99,149,544,0
XB-GENE-6256028,0,0,2.3380903889000244,1.6666666666666667,1,2,6,10,3
XB-GENE-6256029,15,29.5,22.489256694401142,43.166666666666664,45,48.5,80,259,0
XB-GENE-6256031,117,148.5,46.776062254106,176,166.5,207.75,242,1056,0
XB-GENE-6256032,3145,4069.25,1944.6947318281088,5185,4733,5669,8670,31110,0
XB-GENE-6256033,16336,18468.5,5098.361007879558,21693.166666666668,20784,23130.25,30646,130159,0
XB-GENE-6256035,66,76,27.789686336241125,98.66666666666667,100,116.5,136,592,0
XB-GENE-6256038,14,37.5,136.51031707042023,138.66666666666666,109.5,190.5,368,832,0
XB-GENE-6256040,574,927.5,551.4350974200561,1322.3333333333333,1405,1683,2006,7934,0
XB-GENE-6256042,15284,16856.75,6045.3715105028905,20065.5,18633.5,19365.5,31968,120393,0
XB-GENE-6256046,125,177,143.56798621791233,296.1666666666667,329.5,361.25,495,1777,0
XB-GENE-6256047,20110,25897.75,6528.321430505701,29792.5,30781,35104,36268,178755,0
XB-GENE-6256048,130,152.75,99.50611371502089,221.66666666666666,206.5,238.5,403,1330,0
XB-GENE-6256062,98,154.75,51.612659945663204,174.66666666666666,171.5,198,251,1048,0
XB-GENE-6256063,1116,1200.5,466.0902988334628,1479.1666666666667,1281,1576,2349,8875,0
XB-GENE-6256064,147,186.25,94.73682846003801,244.33333333333334,240,250.25,417,1466,0
XB-GENE-6256069,2799,3079,917.8628801006536,3733.6666666666665,3599,4043.25,5308,22402,0
XB-GENE-6256071,1906,3339.75,1717.4829741999386,4325.833333333333,4205,5794.75,6263,25955,0
XB-GENE-6256073,85,109.25,50.64155079247343,135.83333333333334,118.5,149.5,227,815,0
XB-GENE-6256078,117,173.25,83.50189618605476,219.16666666666666,197.5,268.25,346,1315,0
XB-GENE-6256089,410,444.25,190.13013087532093,581.3333333333334,501.5,726.75,848,3488,0
XB-GENE-6256091,52,56,34.75485577584807,78.5,69,80.5,145,471,0
XB-GENE-6256096,145,186.5,77.87083322185956,238.33333333333334,222.5,297.5,343,1430,0
XB-GENE-6256097,50,55.5,27.308728763284947,74.83333333333333,64,92,117,449,0
XB-GENE-6256098,144,204.25,56.76148929218354,227.66666666666666,218,275.25,292,1366,0
XB-GENE-6256102,55,63.5,15.620499351813308,72,65.5,84,93,432,0
XB-GENE-6256104,0,0,0.816496580927726,0.6666666666666666,0.5,1,2,4,3
XB-GENE-6256106,27,34.75,16.14207752015417,47.166666666666664,47.5,58.75,68,283,0
XB-GENE-6256109,0,0,0.408248290463863,0.16666666666666666,0,0,1,1,5
XB-GENE-6256110,184,269.25,95.16301802696255,325,337,399.5,425,1950,0
XB-GENE-6256111,198,290.75,179.24220113206226,412.1666666666667,414,474.25,703,2473,0
XB-GENE-6256113,199,240.5,71.94558128659929,280.8333333333333,260,317,396,1685,0
XB-GENE-6256114,0,4,15.121728296285006,15.333333333333334,12.5,22.5,40,92,1
XB-GENE-6256116,0,0,0.5163977794943222,0.3333333333333333,0,0.75,1,2,4
XB-GENE-6256120,17,20.25,5.089204259999788,22.5,21.5,22.75,32,135,0
XB-GENE-6256123,15,28.25,13.317907743585952,34.166666666666664,35.5,37.5,55,205,0
XB-GENE-6256125,150,189.25,62.59925452165278,228.33333333333334,225.5,254.25,328,1370,0
XB-GENE-6256127,158,181.75,97.0374498153505,251.66666666666666,222.5,305.25,406,1510,0
XB-GENE-6256130,288,306.25,120.58593063316577,405.1666666666667,375.5,517.5,544,2431,0
XB-GENE-6256135,0,0,0.408248290463863,0.16666666666666666,0,0,1,1,5
XB-GENE-6256136,416,466,171.9434984716394,590.1666666666666,537.5,705,847,3541,0
XB-GENE-6256139,26,35.25,54.76008278542561,75.66666666666667,53,121.75,148,454,0
XB-GENE-6256143,101,118.75,27.325811973297338,139.5,148.5,161.75,164,837,0
XB-GENE-6256146,0,0,0.5163977794943222,0.3333333333333333,0,0.75,1,2,4
XB-GENE-6256150,191,209,101.40611421408475,289,263,352.25,444,1734,0
XB-GENE-6256154,14,19.75,10.323113225508411,25.833333333333332,23,31.5,42,155,0
XB-GENE-6256155,0,0,0.5163977794943222,0.3333333333333333,0,0.75,1,2,4
XB-GENE-6256159,36,52.75,45.27582136195875,74.5,58,76,162,447,0
XB-GENE-6256170,12,19.5,13.287839051804724,29.166666666666668,31,35.75,48,175,0
XB-GENE-6256171,18,25,14.596803303006677,33.666666666666664,32.5,35.5,60,202,0
XB-GENE-6256174,17,27.5,20.877420019405335,39.666666666666664,31.5,55,69,238,0
XB-GENE-6256176,0,0,2.401388487243717,1.1666666666666667,0,0.75,6,7,4
XB-GENE-6256179,31,45.75,20.72357755472415,55.666666666666664,52,60.5,92,334,0
XB-GENE-6256181,39,43.75,32.10244019800779,66.16666666666667,58,73,125,397,0
XB-GENE-6256184,75,88.25,42.86451523890906,114.16666666666667,98.5,127.5,191,685,0
XB-GENE-6256185,103,119.25,55.68123561847384,160,160,171.5,256,960,0
XB-GENE-6256188,0,2.25,5.163977794943222,5.666666666666667,4.5,8.25,14,34,1
