xenbase_gene_id,min,lowerq,sd,mean,median,upperq,max,total,n_zero
XB-GENE-964840,537,590.25,334.8758974107672,744.6666666666666,615.5,677.5,1420,4468,0
XB-GENE-964855,92,96.25,56.78174589308316,127.83333333333333,104.5,125.5,240,767,0
XB-GENE-964873,1,3.25,4.546060565661952,5.666666666666667,4.5,6.5,14,34,0
XB-GENE-964883,86,116,41.906642273828936,141.83333333333334,138.5,170.75,198,851,0
XB-GENE-964893,42,55,45.61469061607236,94.5,98.5,132.25,144,567,0
XB-GENE-965011,10,15.25,9.674709297958259,22,21,29,35,132,0
XB-GENE-965034,396,411.25,83.67655984005715,458.1666666666667,425,463.5,620,2749,0
XB-GENE-965050,39,65.5,31.751640377572095,79.83333333333333,77,87,134,479,0
XB-GENE-965073,4,5,2.588435821108957,6.5,5.5,7.5,11,39,0
XB-GENE-965096,5,5.25,12.409673645990857,15,9.5,25,32,90,0
XB-GENE-965105,114,159.5,105.61391953715192,243.5,254,322.25,366,1461,0
XB-GENE-965155,147,185.5,76.03091476498227,237.5,230,276.75,355,1425,0
XB-GENE-965164,3,4.25,3.082207001484488,6.5,6,8.5,11,39,0
XB-GENE-965201,278,284,133.5011860122099,357.8333333333333,304.5,345.25,624,2147,0
XB-GENE-965223,94,117.5,52.65231872070466,157.33333333333334,158,188,232,944,0
XB-GENE-965461,124,155.5,59.865404589517865,194.33333333333334,180,242.75,271,1166,0
XB-GENE-965473,22,27.25,12.24744871391589,37,37.5,45.5,53,222,0
XB-GENE-965492,10,14.75,9.605553948974867,21.666666666666668,21.5,26.75,36,130,0
XB-GENE-965525,704,722.75,147.91991076254743,832.5,771.5,953,1028,4995,0
XB-GENE-965552,87,113.25,81.78426906604146,173.66666666666666,154.5,227.25,295,1042,0
XB-GENE-965566,152,180,61.28539793458145,221.5,211.5,254.25,316,1329,0
XB-GENE-965619,130,182.5,98.83656543337929,247.33333333333334,238.5,293,402,1484,0
XB-GENE-965630,180,238,131.86571452302022,324.8333333333333,312.5,363,551,1949,0
XB-GENE-965894,415,493,364.47409601598116,809.1666666666666,802.5,1065.5,1292,4855,0
XB-GENE-965905,215,249,107.30268713628129,325.3333333333333,328.5,342,511,1952,0
XB-GENE-965917,23,30,18.17415747703315,44.5,43.5,60.75,65,267,0
XB-GENE-965928,107,126,58.97004889489805,151.66666666666666,130.5,144,269,910,0
XB-GENE-965970,223,241.25,116.08732345379778,298.6666666666667,255,282.25,531,1792,0
XB-GENE-965980,31,38.25,20.13620288601271,54.666666666666664,55,68,82,328,0
XB-GENE-965998,12,18.25,12.122980931547598,25.166666666666668,23.5,27.25,47,151,0
XB-GENE-966013,47,67.5,30.414908624992886,88.66666666666667,91.5,111,125,532,0
XB-GENE-966041,69,87.5,46.25472948791291,119.5,123.5,126.5,198,717,0
XB-GENE-966051,98,128.75,84.00416656333185,195.5,194.5,246,316,1173,0
XB-GENE-966062,22,38.5,16.594175685060907,43.166666666666664,41,43.5,73,259,0
XB-GENE-966084,75,91.25,48.09331207836144,127.83333333333333,120.5,164,191,767,0
XB-GENE-966096,119,124.5,58.99406749835105,170.5,150,206.25,263,1023,0
XB-GENE-966113,1,3.25,24.576411454889016,22,12,41.75,55,132,0
XB-GENE-966153,762,883.75,387.1014079023738,1156.5,1126.5,1245.5,1836,6939,0
XB-GENE-966163,0,2.25,3.265986323710904,4.333333333333333,4.5,6,9,26,1
XB-GENE-966190,319,375.75,226.26069035517415,555.5,522.5,688.75,898,3333,0
XB-GENE-966220,2390,3004,1873.9213875364853,4460.166666666667,4269.5,5548.5,7275,26761,0
XB-GENE-966276,106,153.25,46.13747572924495,164.66666666666666,158,164.25,248,988,0
XB-GENE-966314,19,28.75,27.459060435491963,49,46,61.75,93,294,0
XB-GENE-966323,75,116.25,95.42676074700779,192.33333333333334,194,268.75,307,1154,0
XB-GENE-966348,1104,1179.5,512.0162757829742,1642.6666666666667,1673.5,2028,2244,9856,0
XB-GENE-966363,437,497.25,200.5173309217934,672,701.5,834.5,884,4032,0
XB-GENE-966372,4,4,3.9832984656772417,7.333333333333333,6,10.25,13,44,0
XB-GENE-966380,18,22.75,10.526157893552615,30,29,34.5,47,180,0
XB-GENE-966393,174,214.5,146.42085461663808,324.3333333333333,324.5,358.75,575,1946,0
XB-GENE-966454,3517,4063.25,1411.3407809597227,5135,5214,5681.5,7348,30810,0
XB-GENE-966475,103,122,54.16425635662939,160.83333333333334,148,195.75,241,965,0
XB-GENE-966491,118,127.25,35.33836442168766,151,149,152.75,216,906,0
XB-GENE-966533,7,10.5,8.886319072972041,18.166666666666668,21.5,25,26,109,0
XB-GENE-966569,267,342.5,166.88489046845032,471.8333333333333,489,621.25,627,2831,0
XB-GENE-966589,223,230,86.00387588165238,305.3333333333333,294,361.75,428,1832,0
XB-GENE-966600,374,444.5,317.5038057514692,687.6666666666666,622,858,1186,4126,0
XB-GENE-966610,397,463.5,220.7393636546655,586.3333333333334,539,578.5,1013,3518,0
XB-GENE-966653,58,75.75,29.00804486115303,87.33333333333333,78,89.25,142,524,0
XB-GENE-966670,26,37.75,17.59166469287846,49.333333333333336,50,60.75,72,296,0
XB-GENE-966679,101,116.5,62.02069547067871,171.16666666666666,174,218,248,1027,0
XB-GENE-966702,191,211,71.42198541065629,271.5,273.5,324,360,1629,0
